r2,N_GBW
6.30312,0.412093
6.31317,0.41258
6.32323,0.413067
6.33329,0.413554
6.34336,0.414041
6.35345,0.414528
6.36353,0.415015
6.37363,0.415502
6.38373,0.415989
6.39385,0.416476
6.40397,0.416962
6.4141,0.417449
6.42423,0.417936
6.43438,0.418422
6.44453,0.418908
6.45469,0.419395
6.46486,0.419881
6.47503,0.420367
6.48522,0.420854
6.49541,0.42134
6.50561,0.421826
6.51582,0.422312
6.52604,0.422798
6.53626,0.423283
6.54649,0.423769
6.55673,0.424255
6.56698,0.424741
6.57724,0.425226
6.5875,0.425712
6.59778,0.426197
6.60806,0.426682
6.61835,0.427168
6.62864,0.427653
6.63895,0.428138
6.64926,0.428623
6.65958,0.429108
6.66991,0.429593
6.68024,0.430078
6.69059,0.430562
6.70094,0.431047
6.7113,0.431532
6.72167,0.432016
6.73205,0.432501
6.74243,0.432985
6.75282,0.433469
6.76322,0.433953
6.77363,0.434437
6.78405,0.434921
6.79447,0.435405
6.80491,0.435889
6.81535,0.436373
6.8258,0.436857
6.83625,0.43734
6.84672,0.437824
6.85719,0.438307
6.86767,0.43879
6.87816,0.439274
6.88866,0.439757
6.89916,0.44024
6.90967,0.440723
6.92019,0.441206
6.93072,0.441688
6.94126,0.442171
6.9518,0.442654
6.96236,0.443136
6.97292,0.443618
6.98349,0.444101
6.99406,0.444583
