r,N_gbw
404.21,0.993349
415.546,0.993349
427.199,0.993349
439.18,0.993349
451.497,0.993349
464.159,0.993349
477.176,0.993349
490.558,0.993349
504.316,0.993349
518.459,0.993349
532.999,0.993349
547.947,0.993349
563.314,0.993349
579.112,0.993349
595.353,0.993349
612.05,0.993349
629.215,0.993349
646.861,0.993349
665.002,0.993349
683.652,0.993349
702.824,0.993349
722.535,0.993349
742.798,0.993349
763.63,0.993349
785.046,0.993349
807.062,0.993349
829.696,0.993349
852.964,0.993349
876.886,0.993349
901.478,0.993349
926.759,0.993349
952.75,0.993349
979.47,0.993349
1006.94,0.993349
1035.18,0.993349
1064.21,0.993349
1094.05,0.993349
1124.74,0.993349
1156.28,0.993349
1188.71,0.993349
1222.04,0.993349
1256.32,0.993349
1291.55,0.993349
1327.77,0.993349
1365.01,0.993349
1403.29,0.993349
1442.64,0.993349
1483.1,0.993349
1524.7,0.993349
1567.46,0.993349
1611.41,0.993349
1656.61,0.993349
1703.07,0.993349
1750.83,0.993349
1799.93,0.993349
1850.41,0.993349
1902.3,0.993349
1955.65,0.993349
2010.5,0.993349
2066.88,0.993349
2124.85,0.993349
2184.44,0.993349
2245.7,0.993349
2308.68,0.993349
2373.42,0.993349
2439.99,0.993349
2508.42,0.993349
2578.76,0.993349
2651.08,0.993349
2725.43,0.993349
2801.87,0.993349
2880.44,0.993349
2961.23,0.993349
3044.27,0.993349
3129.65,0.993349
3217.42,0.993349
3307.65,0.993349
3400.41,0.993349
3495.78,0.993349
3593.81,0.993349
3694.6,0.993349
3798.22,0.993349
3904.74,0.993349
4014.24,0.993349
4126.82,0.993349
4242.56,0.993349
4361.54,0.993349
4483.86,0.993349
4609.6,0.993349
4738.88,0.993349
4871.78,0.993349
5008.41,0.993349
5148.87,0.993349
5293.27,0.993349
5441.71,0.993349
5594.33,0.993349
5751.22,0.993349
5912.51,0.993349
6078.32,0.993349
6248.79,0.993349
6424.03,0.993349
6604.19,0.993349
6789.41,0.993349
6979.81,0.993349
7175.56,0.993349
7376.8,0.993349
7583.68,0.993349
7796.36,0.993349
8015.01,0.993349
8239.79,0.993349
8470.87,0.993349
8708.43,0.993349
8952.66,0.993349
9203.73,0.993349
9461.85,0.993349
9727.2,0.993349
10000,0.993349
